Name,Tag,Image URL,Origin,Length,Color,Stem Price,Quantity,First Quantity
Anthurium acura,Promo,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xA5CEB6650A14B245DD922B2A508F4C6DBD6BA69B.jpg",NL,13 cm,Bicolour,"€ 0,72",690,4x12
Anthurium acura,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xA5CEB6650A14B245DD922B2A508F4C6DBD6BA69B.jpg",,,,,,
Anthurium acura,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xA5CEB6650A14B245DD922B2A508F4C6DBD6BA69B.jpg",,,,,,
Anthurium calisto,Promo,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x6BF207F37A89413DAF3F6BAA79BA3E73447BF185.jpg",NL,15 cm,Red,"€ 0,75",690,17x10
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x6BF207F37A89413DAF3F6BAA79BA3E73447BF185.jpg",,,,,,
Anthurium calisto,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x6BF207F37A89413DAF3F6BAA79BA3E73447BF185.jpg",,,,,,
Anthurium cantello,Promo,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x8B22654BE2B81823E3D22E01B37E8BAC1CBF9969.jpg",NL,15 cm,Brown,"€ 0,60",690,3x10
Anthurium cantello,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x8B22654BE2B81823E3D22E01B37E8BAC1CBF9969.jpg",,,,,,
Anthurium cantello,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x8B22654BE2B81823E3D22E01B37E8BAC1CBF9969.jpg",,,,,,
Anthurium cassis,Promo,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xA765F62FAF38B618E444700FAE16042922A234C7.jpg",NL,50 cm,Purple,"€ 0,60",690,4x16
Anthurium cassis,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xA765F62FAF38B618E444700FAE16042922A234C7.jpg",,,,,,
